negociation_id,destination,nb_personnes,nb_nuits,mois,saison,nb_options,prix_plancher,prix_affiche,budget_client,ratio_budget,nb_tours,deal_conclu,prix_final,marge_finale,popularite_dest,reward_total
1,"Dubai, EAU",1,14,5,moyenne,3,3800,4800,3416,0.712,9,False,0,0,0.85,-67.5
2,"Barcelone, Espagne",2,7,10,moyenne,3,2150,2750,2510,0.913,3,True,2481,331,0.76,-5.0
3,"La Mecque, Arabie Saoudite",2,5,6,haute,3,4025,5175,3989,0.771,6,True,4047,22,0.95,-34.5
4,"Barcelone, Espagne",1,10,5,moyenne,3,2150,2750,3038,1.105,1,True,2750,600,0.76,12.5
5,"Marrakech, Maroc",4,3,1,basse,3,1710,2249,2571,1.143,1,True,2249,539,0.75,12.5
6,"Marrakech, Maroc",4,3,7,haute,3,2185,2874,2412,0.839,4,True,2464,279,0.75,-15.0
7,"Dubai, EAU",3,14,3,moyenne,3,3800,4800,3556,0.741,9,True,3800,0,0.85,-61.5
8,"Rome, Italie",2,7,2,basse,3,1980,2520,2353,0.934,1,True,2520,540,0.78,12.5
9,"Rome, Italie",2,14,8,haute,3,2530,3220,2981,0.926,2,True,3059,529,0.78,6.5
10,"Marrakech, Maroc",4,10,9,moyenne,3,1900,2499,2059,0.824,4,True,2142,242,0.75,-15.0
11,Thailande,1,3,2,basse,3,2790,3600,2539,0.705,9,False,0,0,0.82,-67.5
12,"Dubai, EAU",4,10,5,moyenne,3,3800,4800,4968,1.035,1,True,4800,1000,0.85,12.5
13,"Istanbul, Turquie",2,3,12,haute,3,2530,3220,3271,1.016,1,True,3220,690,0.8,12.5
14,"Istanbul, Turquie",3,3,11,basse,3,1980,2520,2137,0.848,3,True,2274,294,0.8,-5.0
15,"Paris, France",3,7,8,haute,3,2415,3104,2885,0.929,2,True,2949,534,0.9,6.5
16,"La Mecque, Arabie Saoudite",2,3,4,moyenne,3,3500,4500,5340,1.187,1,True,4500,1000,0.95,12.5
17,Thailande,4,3,9,moyenne,3,3100,4000,3928,0.982,1,True,4000,900,0.82,12.5
18,"Istanbul, Turquie",2,10,10,moyenne,3,2200,2800,2037,0.728,9,False,0,0,0.8,-67.5
19,"Marrakech, Maroc",1,7,1,basse,3,1710,2249,1611,0.716,9,False,0,0,0.75,-67.5
20,"Marrakech, Maroc",3,5,12,haute,3,2185,2874,3141,1.093,1,True,2874,689,0.75,12.5
21,Thailande,4,7,4,moyenne,3,3100,4000,3403,0.851,3,True,3610,510,0.82,-5.0
22,"Paris, France",4,14,11,basse,3,1890,2429,1889,0.778,6,True,1900,10,0.9,-34.5
23,"La Mecque, Arabie Saoudite",2,5,2,basse,3,3150,4050,3685,0.91,3,True,3656,506,0.95,-5.0
24,"Paris, France",1,5,3,moyenne,3,2100,2699,2160,0.8,6,True,2110,10,0.9,-34.5
25,Thailande,2,7,12,haute,3,3565,4600,5515,1.199,1,True,4600,1035,0.82,12.5
26,Thailande,2,5,5,moyenne,3,3100,4000,2703,0.676,9,False,0,0,0.82,-67.5
27,"Istanbul, Turquie",1,10,2,basse,3,1980,2520,2542,1.009,1,True,2520,540,0.8,12.5
28,"Marrakech, Maroc",3,10,1,basse,3,1710,2249,2372,1.055,1,True,2249,539,0.75,12.5
29,"Rome, Italie",2,5,11,basse,3,1980,2520,2544,1.01,1,True,2520,540,0.78,12.5
30,"La Mecque, Arabie Saoudite",2,7,2,basse,3,3150,4050,3404,0.84,4,True,3473,323,0.95,-15.0
31,"Istanbul, Turquie",2,3,4,moyenne,3,2200,2800,1995,0.713,9,False,0,0,0.8,-67.5
32,"Istanbul, Turquie",2,3,2,basse,3,1980,2520,2492,0.989,1,True,2520,540,0.8,12.5
33,"Marrakech, Maroc",4,7,4,moyenne,3,1900,2499,2907,1.163,1,True,2499,599,0.75,12.5
34,"La Mecque, Arabie Saoudite",4,3,2,basse,3,3150,4050,4687,1.157,1,True,4050,900,0.95,12.5
35,"Rome, Italie",4,5,11,basse,3,1980,2520,2496,0.99,1,True,2520,540,0.78,12.5
36,"Barcelone, Espagne",3,3,2,basse,3,1935,2475,2269,0.917,2,True,2351,416,0.76,6.5
37,"Rome, Italie",3,10,3,moyenne,3,2200,2800,1903,0.68,9,False,0,0,0.78,-67.5
38,"Barcelone, Espagne",3,14,3,moyenne,3,2150,2750,2775,1.009,1,True,2750,600,0.76,12.5
39,"Istanbul, Turquie",2,3,3,moyenne,3,2200,2800,2893,1.033,1,True,2800,600,0.8,12.5
40,"Marrakech, Maroc",2,5,12,haute,3,2185,2874,2619,0.911,3,True,2594,409,0.75,-5.0
41,Thailande,2,7,4,moyenne,3,3100,4000,3404,0.851,4,True,3430,330,0.82,-15.0
42,"Rome, Italie",4,10,7,haute,3,2530,3220,3738,1.161,1,True,3220,690,0.78,12.5
43,"Paris, France",1,7,3,moyenne,3,2100,2699,2551,0.945,2,True,2564,464,0.9,6.5
44,"Rome, Italie",4,7,7,haute,3,2530,3220,3471,1.078,1,True,3220,690,0.78,12.5
45,"Marrakech, Maroc",2,3,12,haute,3,2185,2874,2311,0.804,6,True,2248,63,0.75,-34.5
46,"Rome, Italie",3,7,11,basse,3,1980,2520,2847,1.13,1,True,2520,540,0.78,12.5
47,"La Mecque, Arabie Saoudite",4,7,6,haute,3,4025,5175,3863,0.746,6,True,4047,22,0.95,-34.5
48,"La Mecque, Arabie Saoudite",2,10,1,basse,3,3150,4050,2923,0.722,9,False,0,0,0.95,-67.5
49,"Dubai, EAU",2,10,11,basse,3,3420,4320,4466,1.034,1,True,4320,900,0.85,12.5
50,"Marrakech, Maroc",4,7,4,moyenne,3,1900,2499,2466,0.987,1,True,2499,599,0.75,12.5
51,Thailande,3,3,8,haute,3,3565,4600,3874,0.842,4,True,3944,379,0.82,-15.0
52,"Paris, France",4,3,7,haute,3,2415,3104,2773,0.893,3,True,2802,387,0.9,-5.0
53,"Dubai, EAU",2,5,8,haute,3,4370,5520,6607,1.197,1,True,5520,1150,0.85,12.5
54,Thailande,3,14,9,moyenne,3,3100,4000,3691,0.923,2,True,3800,700,0.82,6.5
55,Thailande,2,7,4,moyenne,3,3100,4000,4077,1.019,1,True,4000,900,0.82,12.5
56,Thailande,4,5,5,moyenne,3,3100,4000,3466,0.867,3,True,3610,510,0.82,-5.0
57,"Dubai, EAU",2,5,4,moyenne,3,3800,4800,3433,0.715,9,False,0,0,0.85,-67.5
58,"Paris, France",4,10,7,haute,3,2415,3104,2897,0.933,2,True,2949,534,0.9,6.5
59,"Barcelone, Espagne",3,14,12,haute,3,2472,3162,2646,0.837,5,True,2688,216,0.76,-22.5
60,"Barcelone, Espagne",4,5,8,haute,3,2472,3162,3779,1.195,1,True,3162,690,0.76,12.5
61,"Barcelone, Espagne",3,10,11,basse,3,1935,2475,2099,0.848,4,True,2121,186,0.76,-15.0
62,"Marrakech, Maroc",2,7,6,haute,3,2185,2874,3003,1.045,1,True,2874,689,0.75,12.5
63,"Barcelone, Espagne",2,3,8,haute,3,2472,3162,2588,0.818,4,True,2711,239,0.76,-15.0
64,"Paris, France",4,3,4,moyenne,3,2100,2699,1801,0.667,9,False,0,0,0.9,-67.5
65,"Dubai, EAU",4,5,5,moyenne,3,3800,4800,3264,0.68,9,False,0,0,0.85,-67.5
66,"La Mecque, Arabie Saoudite",4,14,10,moyenne,3,3500,4500,5171,1.149,1,True,4500,1000,0.95,12.5
67,"Paris, France",2,10,7,haute,3,2415,3104,3002,0.967,1,True,3104,689,0.9,12.5
68,"Paris, France",4,7,8,haute,3,2415,3104,2914,0.939,2,True,2949,534,0.9,6.5
69,"Istanbul, Turquie",2,5,12,haute,3,2530,3220,2741,0.851,3,True,2906,376,0.8,-5.0
70,Thailande,2,14,10,moyenne,3,3100,4000,3627,0.907,3,True,3610,510,0.82,-5.0
71,"Marrakech, Maroc",4,7,10,moyenne,3,1900,2499,2611,1.045,1,True,2499,599,0.75,12.5
72,"Rome, Italie",2,7,4,moyenne,3,2200,2800,2074,0.741,9,False,0,0,0.78,-67.5
73,"Marrakech, Maroc",4,7,11,basse,3,1710,2249,2389,1.062,1,True,2249,539,0.75,12.5
74,"La Mecque, Arabie Saoudite",2,7,12,haute,3,4025,5175,4414,0.853,4,True,4436,411,0.95,-15.0
75,"Rome, Italie",2,14,8,haute,3,2530,3220,2379,0.739,9,True,2530,0,0.78,-61.5
76,"La Mecque, Arabie Saoudite",1,5,5,moyenne,3,3500,4500,3208,0.713,9,False,0,0,0.95,-67.5
77,"Paris, France",3,7,8,haute,3,2415,3104,2358,0.76,6,True,2427,12,0.9,-34.5
78,"Paris, France",2,5,10,moyenne,3,2100,2699,2622,0.971,1,True,2699,599,0.9,12.5
79,"Barcelone, Espagne",3,10,10,moyenne,3,2150,2750,2238,0.814,4,True,2357,207,0.76,-15.0
80,"La Mecque, Arabie Saoudite",3,10,1,basse,3,3150,4050,4597,1.135,1,True,4050,900,0.95,12.5
81,"Marrakech, Maroc",4,5,5,moyenne,3,1900,2499,2472,0.989,1,True,2499,599,0.75,12.5
82,"Dubai, EAU",2,3,7,haute,3,4370,5520,4623,0.838,4,True,4733,363,0.85,-15.0
83,Thailande,1,14,4,moyenne,3,3100,4000,4588,1.147,1,True,4000,900,0.82,12.5
84,"Marrakech, Maroc",2,3,9,moyenne,3,1900,2499,1728,0.691,9,False,0,0,0.75,-67.5
85,"La Mecque, Arabie Saoudite",4,7,5,moyenne,3,3500,4500,3617,0.804,6,True,3519,19,0.95,-34.5
86,"Paris, France",4,14,5,moyenne,3,2100,2699,2380,0.882,3,True,2436,336,0.9,-5.0
87,"La Mecque, Arabie Saoudite",2,10,7,haute,3,4025,5175,5552,1.073,1,True,5175,1150,0.95,12.5
88,"Rome, Italie",2,7,6,haute,3,2530,3220,3749,1.164,1,True,3220,690,0.78,12.5
89,Thailande,2,14,7,haute,3,3565,4600,5003,1.088,1,True,4600,1035,0.82,12.5
90,"Rome, Italie",2,7,2,basse,3,1980,2520,2649,1.051,1,True,2520,540,0.78,12.5
91,"Paris, France",4,10,8,haute,3,2415,3104,2221,0.716,9,False,0,0,0.9,-67.5
92,"Dubai, EAU",1,14,10,moyenne,3,3800,4800,5412,1.127,1,True,4800,1000,0.85,12.5
93,"Paris, France",3,7,2,basse,3,1890,2429,2196,0.904,2,True,2308,418,0.9,6.5
94,"Istanbul, Turquie",2,14,5,moyenne,3,2200,2800,2086,0.745,6,True,2200,0,0.8,-34.5
95,"Istanbul, Turquie",4,3,5,moyenne,3,2200,2800,3258,1.164,1,True,2800,600,0.8,12.5
96,"La Mecque, Arabie Saoudite",4,3,5,moyenne,3,3500,4500,5217,1.159,1,True,4500,1000,0.95,12.5
97,Thailande,4,5,8,haute,3,3565,4600,3493,0.759,6,True,3597,32,0.82,-34.5
98,"Barcelone, Espagne",2,7,1,basse,3,1935,2475,1979,0.8,6,True,1936,1,0.76,-34.5
99,"Paris, France",2,10,10,moyenne,3,2100,2699,1863,0.69,9,False,0,0,0.9,-67.5
100,"La Mecque, Arabie Saoudite",2,10,12,haute,3,4025,5175,3541,0.684,9,False,0,0,0.95,-67.5
101,"Marrakech, Maroc",4,14,5,moyenne,3,1900,2499,2841,1.137,1,True,2499,599,0.75,12.5
102,"Dubai, EAU",4,14,12,haute,3,4370,5520,5856,1.061,1,True,5520,1150,0.85,12.5
103,"Paris, France",1,7,1,basse,3,1890,2429,1869,0.769,6,True,1900,10,0.9,-34.5
104,"Barcelone, Espagne",3,14,4,moyenne,3,2150,2750,2285,0.831,4,True,2357,207,0.76,-15.0
105,Thailande,2,14,9,moyenne,3,3100,4000,3150,0.787,6,True,3128,28,0.82,-34.5
106,"Marrakech, Maroc",2,7,2,basse,3,1710,2249,1844,0.82,4,True,1928,218,0.75,-15.0
107,"Barcelone, Espagne",2,3,10,moyenne,3,2150,2750,3148,1.145,1,True,2750,600,0.76,12.5
108,Thailande,4,7,4,moyenne,3,3100,4000,4152,1.038,1,True,4000,900,0.82,12.5
109,"La Mecque, Arabie Saoudite",4,14,11,basse,3,3150,4050,3986,0.984,1,True,4050,900,0.95,12.5
110,"Paris, France",2,7,1,basse,3,1890,2429,2120,0.873,3,True,2193,303,0.9,-5.0
111,"Istanbul, Turquie",2,5,9,moyenne,3,2200,2800,2916,1.041,1,True,2800,600,0.8,12.5
112,"La Mecque, Arabie Saoudite",4,5,5,moyenne,3,3500,4500,5337,1.186,1,True,4500,1000,0.95,12.5
113,"La Mecque, Arabie Saoudite",4,7,2,basse,3,3150,4050,2766,0.683,9,False,0,0,0.95,-67.5
114,"La Mecque, Arabie Saoudite",3,3,8,haute,3,4025,5175,4541,0.877,3,True,4670,645,0.95,-5.0
115,"Rome, Italie",1,14,4,moyenne,3,2200,2800,2359,0.843,4,True,2401,201,0.78,-15.0
116,Thailande,4,7,11,basse,3,2790,3600,2518,0.699,9,False,0,0,0.82,-67.5
117,"Barcelone, Espagne",3,14,12,haute,3,2472,3162,2476,0.783,6,True,2473,1,0.76,-34.5
118,Thailande,2,5,6,haute,3,3565,4600,3949,0.858,4,True,3944,379,0.82,-15.0
119,"Marrakech, Maroc",1,7,2,basse,3,1710,2249,2497,1.11,1,True,2249,539,0.75,12.5
120,"Paris, France",1,7,4,moyenne,3,2100,2699,3095,1.147,1,True,2699,599,0.9,12.5
121,"Marrakech, Maroc",3,5,4,moyenne,3,1900,2499,1727,0.691,9,False,0,0,0.75,-67.5
122,"Paris, France",2,5,10,moyenne,3,2100,2699,1921,0.712,9,False,0,0,0.9,-67.5
123,"Paris, France",4,14,9,moyenne,3,2100,2699,2286,0.847,3,True,2436,336,0.9,-5.0
124,"Barcelone, Espagne",4,3,8,haute,3,2472,3162,3355,1.061,1,True,3162,690,0.76,12.5
125,"Rome, Italie",3,5,2,basse,3,1980,2520,2127,0.844,4,True,2160,180,0.78,-15.0
126,"La Mecque, Arabie Saoudite",2,10,10,moyenne,3,3500,4500,4006,0.89,3,True,4061,561,0.95,-5.0
127,"Marrakech, Maroc",2,7,4,moyenne,3,1900,2499,2243,0.898,2,True,2374,474,0.75,6.5
128,"Rome, Italie",2,7,11,basse,3,1980,2520,2361,0.937,2,True,2394,414,0.78,6.5
129,"Dubai, EAU",4,3,2,basse,3,3420,4320,3798,0.879,4,True,3704,284,0.85,-15.0
130,"Rome, Italie",4,3,7,haute,3,2530,3220,2755,0.856,3,True,2906,376,0.78,-5.0
131,"La Mecque, Arabie Saoudite",3,7,6,haute,3,4025,5175,4180,0.808,5,True,4399,374,0.95,-22.5
132,"Dubai, EAU",4,7,10,moyenne,3,3800,4800,3801,0.792,6,True,3800,0,0.85,-34.5
133,"La Mecque, Arabie Saoudite",1,5,5,moyenne,3,3500,4500,4623,1.027,1,True,4500,1000,0.95,12.5
134,"Paris, France",2,5,10,moyenne,3,2100,2699,2611,0.967,1,True,2699,599,0.9,12.5
135,"Paris, France",1,14,9,moyenne,3,2100,2699,2112,0.783,6,True,2110,10,0.9,-34.5
136,"Paris, France",2,5,10,moyenne,3,2100,2699,1849,0.685,9,False,0,0,0.9,-67.5
137,Thailande,3,14,5,moyenne,3,3100,4000,3095,0.774,6,True,3128,28,0.82,-34.5
