tour,prix_propose,prix_plancher,budget_client,marge_actuelle,marge_pct,reaction_client,action_agent,reward,deal_conclu,popularite_dest,saison,phase,negociation_id,destination,nb_personnes
1,4560,4080,3416,480,10.53,trop_cher,reduire_5_pct,-5.5,False,0.85,moyenne,1,1,"Dubai, EAU",1
2,4332,4080,3416,252,5.82,trop_cher,reduire_5_pct,-6.0,False,0.85,moyenne,1,1,"Dubai, EAU",1
3,4115,4080,3416,35,0.85,trop_cher,reduire_5_pct,-6.5,False,0.85,moyenne,1,1,"Dubai, EAU",1
4,4080,4080,3416,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.85,moyenne,2,1,"Dubai, EAU",1
5,3800,4080,3416,-280,-7.37,trop_cher,proposer_hotels,-7.5,False,0.85,moyenne,2,1,"Dubai, EAU",1
6,3800,4080,3416,-280,-7.37,trop_cher,proposer_transport,-8.0,False,0.85,moyenne,2,1,"Dubai, EAU",1
7,3800,4080,3416,-280,-7.37,trop_cher,retirer_excursion,-8.5,False,0.85,moyenne,2,1,"Dubai, EAU",1
8,3800,4080,3416,-280,-7.37,trop_cher,retirer_assurance,-9.0,False,0.85,moyenne,2,1,"Dubai, EAU",1
9,3800,4080,3416,-280,-7.37,trop_cher,refuser_negociation,-9.5,False,0.85,moyenne,3,1,"Dubai, EAU",1
1,2612,2338,2510,274,10.49,trop_cher,reduire_5_pct,-5.5,False,0.76,moyenne,1,2,"Barcelone, Espagne",2
2,2481,2338,2510,143,5.76,trop_cher,reduire_5_pct,-6.0,False,0.76,moyenne,1,2,"Barcelone, Espagne",2
3,2481,2338,2510,143,5.76,accepte,aucune,6.5,True,0.76,moyenne,1,2,"Barcelone, Espagne",2
1,4916,4399,3989,517,10.52,trop_cher,reduire_5_pct,-5.5,False,0.95,haute,1,3,"La Mecque, Arabie Saoudite",2
2,4670,4399,3989,271,5.8,trop_cher,reduire_5_pct,-6.0,False,0.95,haute,1,3,"La Mecque, Arabie Saoudite",2
3,4436,4399,3989,37,0.83,trop_cher,reduire_5_pct,-6.5,False,0.95,haute,1,3,"La Mecque, Arabie Saoudite",2
4,4399,4399,3989,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.95,haute,2,3,"La Mecque, Arabie Saoudite",2
5,4047,4399,3989,-352,-8.7,trop_cher,proposer_hotels,-7.5,False,0.95,haute,2,3,"La Mecque, Arabie Saoudite",2
6,4047,4399,3989,-352,-8.7,accepte,aucune,-2.0,True,0.95,haute,1,3,"La Mecque, Arabie Saoudite",2
1,2750,2338,3038,412,14.98,accepte,aucune,12.5,True,0.76,moyenne,1,4,"Barcelone, Espagne",1
1,2249,1912,2571,337,14.98,accepte,aucune,12.5,True,0.75,basse,1,5,"Marrakech, Maroc",4
1,2730,2443,2412,287,10.51,trop_cher,reduire_5_pct,-5.5,False,0.75,haute,1,6,"Marrakech, Maroc",4
2,2594,2443,2412,151,5.82,trop_cher,reduire_5_pct,-6.0,False,0.75,haute,1,6,"Marrakech, Maroc",4
3,2464,2443,2412,21,0.85,trop_cher,reduire_5_pct,-6.5,False,0.75,haute,1,6,"Marrakech, Maroc",4
4,2464,2443,2412,21,0.85,accepte,aucune,3.0,True,0.75,haute,1,6,"Marrakech, Maroc",4
1,4560,4080,3556,480,10.53,trop_cher,reduire_5_pct,-5.5,False,0.85,moyenne,1,7,"Dubai, EAU",3
2,4332,4080,3556,252,5.82,trop_cher,reduire_5_pct,-6.0,False,0.85,moyenne,1,7,"Dubai, EAU",3
3,4115,4080,3556,35,0.85,trop_cher,reduire_5_pct,-6.5,False,0.85,moyenne,1,7,"Dubai, EAU",3
4,4080,4080,3556,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.85,moyenne,2,7,"Dubai, EAU",3
5,3800,4080,3556,-280,-7.37,trop_cher,proposer_hotels,-7.5,False,0.85,moyenne,2,7,"Dubai, EAU",3
6,3800,4080,3556,-280,-7.37,trop_cher,proposer_transport,-8.0,False,0.85,moyenne,2,7,"Dubai, EAU",3
7,3800,4080,3556,-280,-7.37,trop_cher,retirer_excursion,-8.5,False,0.85,moyenne,2,7,"Dubai, EAU",3
8,3800,4080,3556,-280,-7.37,trop_cher,retirer_assurance,-9.0,False,0.85,moyenne,2,7,"Dubai, EAU",3
9,3800,4080,3556,-280,-7.37,accepte,aucune,-3.5,True,0.85,moyenne,1,7,"Dubai, EAU",3
1,2520,2142,2353,378,15.0,accepte,aucune,12.5,True,0.78,basse,1,8,"Rome, Italie",2
1,3059,2737,2981,322,10.53,trop_cher,reduire_5_pct,-5.5,False,0.78,haute,1,9,"Rome, Italie",2
2,3059,2737,2981,322,10.53,accepte,aucune,12.0,True,0.78,haute,1,9,"Rome, Italie",2
1,2374,2124,2059,250,10.53,trop_cher,reduire_5_pct,-5.5,False,0.75,moyenne,1,10,"Marrakech, Maroc",4
2,2255,2124,2059,131,5.81,trop_cher,reduire_5_pct,-6.0,False,0.75,moyenne,1,10,"Marrakech, Maroc",4
3,2142,2124,2059,18,0.84,trop_cher,reduire_5_pct,-6.5,False,0.75,moyenne,1,10,"Marrakech, Maroc",4
4,2142,2124,2059,18,0.84,accepte,aucune,3.0,True,0.75,moyenne,1,10,"Marrakech, Maroc",4
1,3420,3060,2539,360,10.53,trop_cher,reduire_5_pct,-5.5,False,0.82,basse,1,11,Thailande,1
2,3249,3060,2539,189,5.82,trop_cher,reduire_5_pct,-6.0,False,0.82,basse,1,11,Thailande,1
3,3087,3060,2539,27,0.87,trop_cher,reduire_5_pct,-6.5,False,0.82,basse,1,11,Thailande,1
4,3060,3060,2539,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.82,basse,2,11,Thailande,1
5,2815,3060,2539,-245,-8.7,trop_cher,proposer_hotels,-7.5,False,0.82,basse,2,11,Thailande,1
6,2790,3060,2539,-270,-9.68,trop_cher,proposer_transport,-8.0,False,0.82,basse,2,11,Thailande,1
